,SBBH,JCSJ,VEH_TOTAL,JB_COUNT,JP_COUNT,BLACK_COUNT,AVG_SPEED,MAX_SPEED,MIN_SPEED
0,HD001038,2015/1/16 16:15:00,853,1.0,1.0,0.0,49.1,100.0,10.0
1,HD001038,2015/1/16 16:30:00,857,0.0,0.0,0.0,49.13,102.0,7.0
2,HD001038,2015/1/16 16:45:00,947,0.0,1.0,0.0,48.4,109.0,26.0
3,HD001038,2015/1/16 17:00:00,1064,0.0,0.0,0.0,42.1,93.0,6.0
4,HD001038,2015/1/16 17:15:00,776,0.0,6.0,0.0,33.64,69.0,5.0
5,HD001038,2015/1/16 17:30:00,819,0.0,3.0,0.0,44.17,82.0,13.0
6,HD001038,2015/1/16 17:45:00,899,0.0,5.0,0.0,42.7,92.0,4.0
7,HD001038,2015/1/16 18:00:00,837,1.0,5.0,0.0,42.23,61.0,2.0
8,HD001038,2015/1/16 18:15:00,684,0.0,2.0,0.0,44.96,64.0,4.0
9,HD001038,2015/1/16 18:30:00,790,0.0,0.0,0.0,43.24,81.0,6.0
10,HD001038,2015/1/16 18:45:00,691,0.0,0.0,0.0,44.96,82.0,17.0
11,HD001038,2015/1/16 19:00:00,624,1.0,1.0,0.0,45.36,97.0,7.0
12,HD001038,2015/1/16 19:15:00,676,0.0,1.0,0.0,45.53,93.0,17.0
13,HD001038,2015/1/16 19:30:00,601,0.0,2.0,0.0,44.91,83.0,7.0
14,HD001038,2015/1/16 19:45:00,762,1.0,3.0,0.0,44.08,147.0,1.0
15,HD001038,2015/1/16 20:00:00,843,0.0,2.0,0.0,43.07,63.0,2.0
16,HD001038,2015/1/16 20:15:00,692,1.0,1.0,0.0,45.0,69.0,10.0
17,HD001038,2015/1/16 20:30:00,696,1.0,1.0,0.0,45.03,76.0,3.0
18,HD001038,2015/1/16 20:45:00,710,0.0,0.0,0.0,44.93,171.0,5.0
19,HD001038,2015/1/16 21:00:00,618,0.0,0.0,0.0,45.79,81.0,1.0
20,HD001038,2015/1/16 21:15:00,570,0.0,0.0,0.0,47.22,88.0,7.0
21,HD001038,2015/1/16 21:30:00,615,0.0,0.0,0.0,46.12,83.0,8.0
22,HD001038,2015/1/16 21:45:00,580,0.0,1.0,0.0,45.79,74.0,3.0
23,HD001038,2015/1/16 22:00:00,471,0.0,0.0,0.0,47.94,69.0,2.0
24,HD001038,2015/1/16 15:15:00,179,0.0,0.0,0.0,35.44,59.0,12.0
25,HD001038,2015/1/16 15:30:00,726,0.0,1.0,0.0,39.65,72.0,6.0
26,HD001038,2015/1/16 15:45:00,888,1.0,2.0,0.0,48.95,79.0,2.0
